Code Zone,lat,lng
CC-MA16,33.5836296,-7.6367005
CC-MA17,33.5836296,-7.6367005
CC-MA18,33.5836296,-7.6367005
CC-MA19,33.5836296,-7.6367005
CC-MA20,33.5727285,-7.6436131
CC-MA21,33.5836296,-7.6367005
CC-MA22,33.5836296,-7.6367005
CC-MA23,33.5836296,-7.6367005
CC-MA24,33.5836296,-7.6367005
CC-MA25,33.5836296,-7.6367005
CC-MA26,33.5836296,-7.6367005
CC-MA27,33.5836296,-7.6367005
CC-MA28,33.5836296,-7.6367005
CC-MA29,33.5836296,-7.6367005
CC-MA30,33.5836296,-7.6367005
CC-MA31,33.5954933,-7.6464075
CC-MA32,33.590767,-7.6358778
CC-MS1,33.5729225,-7.6144443
CC-MS2,33.5795067,-7.6143649
CC-MS3,33.5800962,-7.6119554
CC-MS4,33.5697456,-7.6087962
CC-MS5,33.5697456,-7.6087962
CC-MS6,33.5686383,-7.6040064
CC-MS8,33.5757681,-7.5999288
CC-MS9,33.5774555,-7.6063917
CC-MS10,33.5697456,-7.6087962
CC-MS12,33.5697456,-7.6087962
CC-AF1,33.5649078,-7.5965827
CC-AF2,33.5649078,-7.5965827
CC-AF3,33.5649078,-7.5965827
CC-AF4,33.5623115,-7.6072607
CC-AF5,33.5649078,-7.5965827
CC-AF6,33.5716601,-7.5863452
CC-AF7,33.5649078,-7.5965827
CC-AF8,33.5649078,-7.5965827
CC-AF9,33.5649078,-7.5965827
CN-RN1,33.5967566,-7.5964595
CN-RN2,33.5931914,-7.5957822
CN-RN3,33.5921816,-7.5956449
CN-RN4,33.5937905,-7.5961104
CN-RN5,33.5931914,-7.5957822
CN-RN6,33.5931914,-7.5957822
CN-RN7,33.5931914,-7.5957822
CN-RN8,33.5931914,-7.5957822
CN-RN9,33.5931914,-7.5957822
CN-RN10,33.5931914,-7.5957822
CN-RN11,33.5931914,-7.5957822
CN-RN12,33.5931914,-7.5957822
CN-RN13,33.5872272,-7.5953783
CN-HM1,33.5841444,-7.5569559
CN-HM2,33.5841444,-7.5569559
CN-HM3,33.5841444,-7.5569559
CN-HM4,33.5841444,-7.5569559
CN-HM5,33.5841444,-7.5569559
CN-HM6,33.5841444,-7.5569559
