Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
73,CS-AC25,"Lot Lamçalla, Hay Mly Abdellah, Hay Al Inara 2, Mosquée Tawhid, Dar Al Qadi Ben Driss, Ecole Al Wahda",Ain Chock,16682.0,67.1,24.4,44.7,35.7,40.3
74,CS-AC19,"Quadruple délimité par Bd Taddart (Sud), Bd de Fès (Ouest), Axe voirie AC02 (Nord) et Axe voirie AC03 (Est) : Complexe Kahrama et voisinage",Ain Chock,17500.0,67.1,24.4,44.7,35.4,40.0
75,CC-SB9,Bd Ziraoui (de Bd Zerktouni à Bd Bordeaux),Sidi Belyout,17250.0,76.2,66.8,58.4,21.7,38.6
76,CC-MS1,Av. 2 Mars (de Bd Zerktouni à Bd Anoual),Mers Sultan,21000.0,81.0,45.5,49.9,26.8,38.5
77,CS-HH26,"El Oulfa Sud délimitée par Bd Malouiya, Hay El Alia, Hay El Azhari, Lot Mly Thami (R+2), Rce Dakhla (Economique, R+3), Lot Smara, Lot Sidi Abderrahman, Rond Point Chahdia, Lycée Collégial Ibn Annadim, Villas RAM",Hay Hassani,14062.0,63.8,36.7,62.3,30.4,37.9
78,CC-SB6,Bd Mohammed V,Sidi Belyout,18500.0,80.8,44.3,58.9,26.1,37.4
79,CS-HH9,"Triangle délimité par Terrains de certains Clubs Sportifs (COC, …), Rte El Jadida et Bd Al Abtal : Quartier/Cité Laya, Quartier/Lot Guynemer",Hay Hassani,20200.0,63.8,36.7,62.3,29.7,37.3
80,CS-HH8,"Triangle délimité par Bd Omar Al Khiam, Rte El Jadida et Av. des Sports : Quartier Ferme Bretone",Hay Hassani,20200.0,63.8,36.7,62.3,29.7,37.3
81,CS-HH7,"Zone délimitée par Bd Sidi Abderrahman, Bd Yacoub El Mansour, Bd Ghandi et Bd Omar Al Khiam : Hay Erraha",Hay Hassani,18667.0,63.8,36.7,62.3,28.8,36.4
82,CN-RN6,"Hay Palestine (Belvédère Est délimité par Bd Emile Zola), Hay La Gare, Quartier Bahmad",Roches Noires,15100.0,81.2,16.8,49.6,31.2,35.3
83,CN-RN5,Belvédère Ouest délimité par Bd Emile Zola,Roches Noires,15500.0,81.2,16.8,49.6,31.2,35.3
84,CS-AC1,Av. Tah (de Bd Med VI à Av. 2 Mars),Ain Chock,16000.0,67.1,24.4,44.7,30.1,34.8
85,CS-AC18,"Quadruple délimité par Bd Taddart (Sud), Axe voirie AC03 (Ouest), Axe Voirie AC02 (Nord) et Bd Al Qods (Est) à l'exception du GH Nour : Lot Oulad Taleb, Coopérative Echaraf, Mosquée Mokhtar Soussi, Rce Jardins de Majorelle",Ain Chock,16200.0,67.1,24.4,44.7,29.8,34.5
86,CS-AC20,"Hay Achchabab (Chabab), Hay Yasmina",Ain Chock,13750.0,67.1,24.4,44.7,29.0,33.7
87,CS-HH25,"Quadruple délimité par Bd Moulouya (Sud), Bd Oued Oum Rabia (Ouest), Rte du Complexe Administratif (Nord) et Av. Mohamed Taieb Naciri-Rte du Complexe Administratif (Est) : Lot Ferdaous, Lot Wiam, Lot Hassania, El Oulfa Nord délimitée par Bd Moulouya, Hôpital Cheikh Khalifa Bin Zayd Al Nahyan, Lycée Tarik Bnou Ziyad",Hay Hassani,13944.0,63.8,36.7,62.3,25.2,32.9
88,CS-AC10,"Lot Zineb, Lot Keltoum, Lot Al Hanane, Rce Marjana, Rce Oasis Square (R+3), Technopark, UNCAM",Ain Chock,13786.0,67.1,24.4,44.7,26.8,31.5
89,CS-HH2,Bd Yacoub El Mansour,Hay Hassani,17042.0,76.0,32.3,67.1,23.6,31.3
90,CN-RN7,"Belvédère Sud délimité par Rue Ifni, Bd Ibn Tachfine et Rte des Ouled Ziane, Lot Mazzella",Roches Noires,12750.0,81.2,16.8,49.6,27.1,31.3
91,CC-AF7,Hay Riad El Ali,Al Fida,14562.0,84.6,31.2,49.3,22.6,30.9
92,CS-AC17,"Quadruple délimité par Axe Voirie AC05 (Sud), Bd El Qods (Ouest), Av. Dakhla (Nord) et Axe Voirie AC15 (Est) y compris le GH Safa Tranche 1 : Hay Chrifa, Lot El Omaria, Lot Mouna, Diyar Al Jadida, Souk Namoudaji Inara",Ain Chock,15375.0,67.1,24.4,44.7,26.0,30.7
93,CS-AC34,"Lot Soufiane, Lot Amine, Lot Lina, Lot Bouchra, Hay Najah, Lot Dandoune, Lot Kawtar, Lot Rokia, Lot Al Othmaniya, Lot El Kheir, Lot Leila, Lot Saâda, Lot Charaf, Lot Mabrouka, Lot Jnanat",Ain Chock,13750.0,67.1,24.4,44.7,25.2,30.0
94,CN-RN4,Hay Roches Noires,Roches Noires,13100.0,81.7,15.9,50.0,25.2,29.2
95,CS-HH4,"Zone délimitée par Bd Ghandi, Bd Abdelkrim Al Khattabi, Bd Sidi Abderrahman, Rue de Sijilmassa, Rue de Mdaghra, Rue de Walili, Rue de Bab Al Mansour, Rue de l'Oudaya, Rue de Hassan, et Bd Ibnou Sina : Longchamps, Lot Saad, Lot OCP, Lot Chama",Hay Hassani,14929.0,63.8,36.7,62.3,21.3,29.0
96,CN-RN10,"Quadruple délimité par Rue Ifni (Ouest), Bd Ibn Tachfine (Nord), Rue Sergent Med Moussaoui (Est) et Rte des Ouled Ziane (Sud) : Rce Les Jardins de Belvédère, GH Al Majd, Quartier Douane",Roches Noires,12429.0,81.2,16.8,49.6,24.7,28.9
97,CN-RN8,"Triangle délimité par la voie de Chemin de Fer, Rue des Oudaya et Bd Ibn Tachfine : Centrale Laitière et voisinage, Rce Mawada, Rce Al Abrar, Hay Chadia, Rce Venise",Roches Noires,11100.0,81.2,16.8,49.6,24.6,28.8
