Code Zone,Zone,Arrondissement
CS-AC9,"Quadruple délimité par Bd Taddart (Sud), Bd Panoramique (Ouest), Av. Oulad Haddou (Nord) et Bd de Fès (Est) : Lot Hifdia, Lot Nezha, Lot Madania, Lot Cage, Lot Miyamar, Lot Al Manara, Lot Kenza, Lot Siham, Lot Salwa (Seloua)",Ain Chock
CC-AF4,Hay El Masjid,Al Fida
CS-AC21,"Quadruple délimité par Av. de Dakhla (Sud), Bd de Fès (Ouest), Av. 2 Mars (Nord) et Espace vert - Equipement projeté (Est) : Lot Haddaouia 2, Lot Touzaniya , Lot Naima",Ain Chock
CS-AC26,"Lot Assalam, Lot Othmane",Ain Chock
CN-RN13,"Hay Hakam, Hay Laâyoune, Douar Oulad Harres, Hay Minou, Hay Adil, Hay Al Massira, Hay Dakhla, Hay Lamyaâ, Quartier les Cimétières, Hay Azzeddine, Hay Mourad",Roches Noires
CC-MS5,Quartier La Gironde Ouest délimité par la Voie de Chemin de Fer,Mers Sultan
CS-AC14,"Quadruple délimité par Bd Taddart (Sud), Bd El Qods (Ouest), Axe Voirie AC05 (Nord) et Axe Voirie AC15 (Est) exception faite du GH Safa Tranche 1 : Lot Mandarona (Mandarouna), Jnane Californie, Les Ecoles Riad, Lycée Abdelkrim Khettabi",Ain Chock
CC-MS8,"Quartier Mers Sultan, Quartier 2 Mars",Mers Sultan
CN-RN12,"Hay Jamal, Lot Ghizlane",Roches Noires
CS-HH30,"Lot Zaytoune, GH Essalam, Lot Ibn Khaldoun 2",Hay Hassani
CN-RN11,Hay Tissir 2 (Tissir 1 relève de l'Arrondissement Al Fida),Roches Noires
CS-HH16,Lot Saâd El Kheir (El Khair),Hay Hassani
CS-HH1,Bd Ghandi exception faite de Rce Ghandi,Hay Hassani
CC-MS12,Quartier El Miter 2 (El Miter Sud délimité par Bd 2 Mars),Mers Sultan
