Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CN-HM7,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM8,33.5696469,-7.5978056,3.295,10.3,14,8,1,7,2,8,5,0,0,2,34,3
CN-HM9,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-AS1,33.5601471,-7.5562708,6.931,21.6,12,6,0,6,5,2,3,3,0,2,11,0
CN-AS3,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS4,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS5,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS6,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS7,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS9,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS10,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS11,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-AS12,33.6059943,-7.5387936,7.663,23.9,8,0,0,8,0,4,3,1,0,3,11,4
CN-SB1,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB3,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB4,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB5,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB6,33.6059992,-7.5051027,10.742,33.5,8,0,0,15,4,2,3,0,0,4,11,2
CN-SB7,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB8,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB9,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB10,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB11,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB12,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB13,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SB14,33.6190686,-7.5003234,11.462,35.8,4,0,0,4,3,0,2,0,0,1,8,2
CN-SM1,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM2,33.60308,-7.4873629,12.338,38.5,9,0,0,5,4,1,0,1,0,3,2,0
CN-SM4,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM5,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM6,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM7,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM8,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM9,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CN-SM10,33.5843834,-7.5072051,10.49,32.7,4,4,0,6,0,2,0,1,0,0,2,0
CS-AC1,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC2,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC5,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC6,33.5565917,-7.5985122,4.491,14.0,10,0,0,12,7,12,4,0,0,1,21,0
CS-AC7,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC8,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC9,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC10,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC11,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC12,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC14,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC16,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC17,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC18,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC19,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
CS-AC20,33.5370603,-7.5981542,6.52,20.3,12,0,0,16,4,3,3,2,0,0,11,1
