quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude,dist_tram_m,tram_500m,intersect_500m,tt_centre_min,tt_cfc_min,tt_maarif_min,tt_sidi_maarouf_min,tt_port_min,n_ecoles_500m,n_ecoles_1km,dist_ecole_m,n_banques_500m,n_banques_1km,dist_banque_m,n_malls_500m,n_malls_1km,dist_mall_m,dist_mer_m,dist_parc_m,n_parcs_1km,surface_verte_m2_1km,nuisance_route_500m,n_industries_500m,n_fuel_500m,haut standing,log_prix_m2,log_surface_m2
Riviera,Appartement,22727.0,Bon état,66,33.5937,-7.6716,1101.425349293884,0,265,15.2,18.2,12.0,20.5,21.0,0,0,1363.949070450422,3,9,365.318765817671,0,1,853.6519537741274,444.1214635841355,1578.831205494542,0,0.0,1234.2,0,0,0,10.03130892397401,4.189654742026425
Maarif,Appartement,13641.0,Neuf,78,33.578,-7.63,516.1618040869354,0,370,5.0,16.3,1.3,13.9,13.1,4,20,24.99190181775799,14,62,398.5943794644788,0,0,1039.590736742931,2854.671279154411,262.0862290850807,9,85359.3,0.0,0,1,0,9.52083524249312,4.356708826689592
Gauthier,Appartement,15000.0,Bon état,170,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.615805480084347,5.135798437050262
Triangle d'Or,Appartement,15470.0,Bon état,181,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.646657943567112,5.198497031265826
Ain Sebaa,Appartement,9335.0,Neuf,155,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.141526055975824,5.043425116919247
Val Fleury,Appartement,20139.0,Bon état,72,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,1,9.910413512606862,4.276666119016055
Belvedere,Appartement,11701.0,Bon état,147,33.5901,-7.5939,179.3843827470573,1,280,7.3,26.6,11.8,22.7,6.0,2,2,274.5540685228433,9,26,82.02163815120926,1,1,466.4574430381347,1457.133247994956,154.6185354394611,8,38645.0,1585.6,0,4,0,9.367429587218957,4.990432586778736
Roches Noires,Appartement,15714.0,Neuf,49,33.6001,-7.5711,965.0674461353242,0,82,14.4,34.0,19.2,29.6,8.8,0,0,1817.718081919226,1,2,433.5282232699337,0,0,2554.876575642303,938.1474814334251,151.5137400760343,6,59610.7,2072.5,0,0,0,9.662307313735766,3.891820298110626
Sidi Maarouf,Appartement,13515.0,Neuf,90,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,0,9.511555458710548,4.499809670330265
Oulfa,Appartement,12366.0,Bon état,93,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.422706050118514,4.532599493153256
Les Princesses,Studio,21667.0,Bon état,60,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,9.983545644706707,4.0943445622221
Ain Sebaa,Appartement,11257.0,Bon état,88,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.328745436354804,4.477336814478207
Ain Sebaa,Appartement,10062.0,Bon état,81,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.216521231051264,4.394449154672439
Californie,Villa,19868.0,Bon état,453,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,1,9.896865676227241,6.115892125483034
Maarif Extension,Duplex,12676.0,Bon état,142,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,1,9.447465720810811,4.955827057601261
Gauthier,Appartement,18519.0,Bon état,135,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.826552511062006,4.90527477843843
Palmier,Studio,33158.0,Neuf,38,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,1,10.40903929379941,3.637586159726386
Les Princesses,Appartement,21778.0,Bon état,45,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,9.988655564906006,3.80666248977032
Palmier,Studio,29762.0,Neuf,42,33.5784,-7.625,179.7143953534244,1,326,4.2,17.3,2.5,14.5,12.1,5,18,139.4764009785969,13,60,52.72551773118959,0,0,1035.157038194784,2649.314748352723,116.2555281509376,7,143405.3,0.0,0,1,1,10.30098769099,3.737669618283368
Anfa,Appartement,19091.0,Bon état,55,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.856972298794659,4.007333185232471
Sidi Maarouf,Appartement,12374.0,Neuf,115,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,0,9.423352776090933,4.74493212836325
Maarif Extension,Appartement,15699.0,Bon état,93,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.661352295040318,4.532599493153256
Ain Sebaa,Studio,14489.0,Bon état,92,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,1,9.581145019820722,4.52178857704904
Maarif,Studio,22857.0,Neuf,42,33.578,-7.63,516.1618040869354,0,370,5.0,16.3,1.3,13.9,13.1,4,20,24.99190181775799,14,62,398.5943794644788,0,0,1039.590736742931,2854.671279154411,262.0862290850807,9,85359.3,0.0,0,1,1,10.03701269514112,3.737669618283368
