osm_id,lat,lon
9861708,33.5972785,-7.6775511
9861708,33.5974098,-7.677808
9861708,33.5977486,-7.6783425
9861708,33.5981403,-7.6787956
9861708,33.5982929,-7.6789834
9861708,33.5988,-7.6789257
9861708,33.5988692,-7.6789753
9861708,33.5988759,-7.6790491
9861708,33.5988435,-7.6791349
9861708,33.5980996,-7.6792556
9861708,33.5972204,-7.6794166
9861708,33.5967512,-7.6795145
9861708,33.594583,-7.6797208
9861708,33.5944143,-7.6798926
9861708,33.5941357,-7.6800507
9861708,33.5928669,-7.680227
9861708,33.5927397,-7.680197
9861708,33.5925273,-7.680086
9861708,33.592466,-7.6800603
9861708,33.5924191,-7.6800696
9861708,33.591379,-7.6803169
9861708,33.5898956,-7.6832513
9861708,33.5889899,-7.6849414
9861708,33.5876881,-7.6871609
9861708,33.5866906,-7.689592
9861708,33.5855505,-7.691442
9861708,33.5846211,-7.6936265
9861708,33.5841662,-7.6949117
9861708,33.5839596,-7.6955763
9861708,33.5836054,-7.6971673
9861708,33.5835529,-7.6985682
9861708,33.5834204,-7.6999174
9861708,33.582805,-7.7011806
9861708,33.5823481,-7.7016113
9861708,33.5818668,-7.702303
9861708,33.5818438,-7.7027584
9861708,33.5823883,-7.7034964
9861708,33.5827722,-7.7039212
9861708,33.5829867,-7.704117
9861708,33.5830497,-7.7042977
9861708,33.582933,-7.7044871
9861708,33.5827051,-7.7046722
9861708,33.5818079,-7.7050167
9861708,33.5805356,-7.7053209
