category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
banque_finance,5657171588,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5927755,-7.6179081,,,,,8484.0,369.0,17.0,0.472
banque_finance,5657171590,node,CIH Bank القرض العقاري والسياحي,bank,33.5847821,-7.6225537,Avenue Hassan II شارع الحسن الثاني,,,,8026.0,162.0,7.0,0.541
banque_finance,5657171591,node,banque CIC,bank,33.585401,-7.6221748,Avenue Hassan II,,,,8057.0,236.0,24.0,0.46
banque_finance,5657171592,node,CIH Bank القرض العقاري والسياحي,bank,33.5855239,-7.6221064,Avenue Hassan II,,,,8063.0,251.0,12.0,0.48
banque_finance,5657171593,node,Bti Bank,bank,33.5855435,-7.622089,Avenue Hassan II,,,,8064.0,253.0,11.0,0.482
banque_finance,5657388281,node,Saham Bank سهام بنك,bank,33.5805915,-7.63484,Boulevard Brahim Roudani شارع ابراهيم الروداني,,,,7944.0,17.0,157.0,0.773
banque_finance,5657388291,node,Crédit du Maroc مصرف المغرب,bank,33.581246,-7.6341221,Boulevard Ibrahim Roudani,,,,7998.0,17.0,189.0,0.773
banque_finance,5657388296,node,CIH Bank القرض العقاري والسياحي,bank,33.586254,-7.6345227,Rue Assaad Ibn Zorara,,,,8548.0,73.0,16.0,0.683
banque_finance,5657388297,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.585591,-7.6336862,,,,,8458.0,136.0,90.0,0.582
banque_finance,5664414589,node,BMCI Bank,bank,33.5394284,-7.6820283,Route Haj Fateh,,,,3654.0,1139.0,9.0,0.485
banque_finance,5664414616,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.537925,-7.6792368,,,,,3414.0,858.0,13.0,0.478
banque_finance,5664415325,node,Banque Populaire البنك الشعبي,bank,33.5377646,-7.679504,,,,,3404.0,857.0,14.0,0.477
banque_finance,5664415335,node,Attijarawafa Bank,bank,33.5374247,-7.6800656,,,,,3384.0,853.0,38.0,0.437
banque_finance,5664415356,node,Crédit du Maroc,bank,33.5372509,-7.6690639,Boulevard Omar Khayam,,,,3195.0,252.0,39.0,0.435
banque_finance,5664415365,node,Attijarawafa Bank,bank,33.5371179,-7.6691812,Boulevard Omar Khayam,,,,3180.0,245.0,22.0,0.463
banque_finance,5664415368,node,CIH Bank القرض العقاري والسياحي,bank,33.5370553,-7.6692818,Boulevard Omar Khayam,,,,3174.0,244.0,15.0,0.475
banque_finance,5664415388,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.538675,-7.6678348,,,,,3354.0,310.0,9.0,0.485
banque_finance,5664415391,node,BMCI Bank,bank,33.5387837,-7.6677201,Boulevard Omar Khayam,,,,3366.0,313.0,15.0,0.475
banque_finance,5664415749,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5643399,-7.6440597,,,,,6543.0,45.0,93.0,0.728
banque_finance,5664415751,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5709137,-7.6460871,,,,,7247.0,28.0,191.0,0.755
